NOME_CURSO;cep_destino
ADMINISTRAÇÃO;24020-150
ADMINISTRAÇÃO(VOLTA REDONDA);27213-145
ARQUITETURA E URBANISMO;24210-240
ARQUIVOLOGIA;24210-590
ARTES;24210-590
BIBLIOTECONOMIA E DOCUMENTAÇÃO;24210-590
BIOMEDICINA;24210-130
CIÊNCIA DA COMPUTAÇÃO;24210-240
CIÊNCIA DA COMPUTAÇÃO(RIO DAS OSTRAS);28895-532
CIÊNCIAS ATUARIAIS;24020-150
CIÊNCIAS BIOLÓGICAS;24210-130
CIÊNCIAS CONTÁBEIS;24020-150
CIÊNCIAS CONTÁBEIS(VOLTA REDONDA);27213-145
CIÊNCIAS ECONÔMICAS;24020-150
CIÊNCIAS ECONÔMICAS(CAMPOS);28010-385
CIÊNCIAS NATURAIS(PÁDUA);28470-000
CIÊNCIAS SOCIAIS;24210-201
CIÊNCIAS SOCIAIS(CAMPOS);28010-385
CINEMA E AUDIOVISUAL;24210-590
COMUNICAÇÃO SOCIAL;24210-590
DESENHO INDUSTRIAL;24210-240
DIREITO;24210-470
DIREITO ( MACAÉ);27930-560
DIREITO (VOLTA REDONDA);27213-145
EDUCAÇÃO FÍSICA;24210-201
ENFERMAGEM;24020-091
ENFERMAGEM(RIO DAS OSTRAS);28895-532
ENG. DE RECURSOS HÍDRICOS E MEIO AMBIENTE;24210-240
ENGENHARIA AGRÍCOLA E AMBIENTAL;24210-240
ENGENHARIA CIVIL;24210-240
ENGENHARIA DE AGRONEGÓCIOS(VOLTA REDONDA);27225-125
ENGENHARIA DE PRODUÇÃO;24210-240
ENGENHARIA DE PRODUÇÃO(RIO DAS OSTRAS);28895-532
ENGENHARIA DE PRODUÇÃO(V REDONDA);27225-125
ENGENHARIA DE TELECOMUNICAÇÕES;24210-240
ENGENHARIA ELÉTRICA;24210-240
ENGENHARIA MECÂNICA;24210-240
ENGENHARIA MECÂNICA(V REDONDA);27255-125
ENGENHARIA METALÚRGICA(VOLTA REDONDA);27255-125
ENGENHARIA QUÍMICA;24210-240
ESTATÍSTICA;24210-201
ESTUDOS DE MÍDIA;24210-590
FARMÁCIA;24241-000
FILOSOFIA;24210-201
FÍSICA;27213-415
FÍSICA(VOLTA REDONDA);27213-145
GEOGRAFIA;24.210-346
GEOGRAFIA ( ANGRA DOS REIS);23914-360
GEOGRAFIA(CAMPOS);28010-385
GRADUAÇÃO TECNOLÓGICA EM PROCESSOS GERENCIAIS;24020-140
HISTÓRIA;24210-201
HISTÓRIA (CAMPOS);28010-385
LETRAS;24210-200
MATEMÁTICA;24210-201
MATEMÁTICA -PÁDUA;28470-000
MATEMÁTICA(VOLTA REDONDA);27213-145
MEDICINA;24030-210
MEDICINA VETERINÁRIA;24320-340
NUTRIÇÃO;24020-150
ODONTOLOGIA;24020-150
ODONTOLOGIA(NOVA FRIBURGO);28625-650
PEDAGOGIA;24210-201
PEDAGOGIA (ANGRA DOS REIS);23914-360
PEDAGOGIA(PÁDUA);28470-000
PRODUÇÃO CULTURAL;24210-590
PRODUÇÃO CULTURAL(RIO DAS OSTRAS);28895-532
PSICOLOGIA;24210-201
PSICOLOGIA ( VOLTA REDONDA);27213-145
PSICOLOGIA(CAMPOS);28010-385
PSICOLOGIA(RIO DAS OSTRAS);28895-532
QUÍMICA;24020-150
QUÍMICA INDUSTRIAL;24020-150
QUÍMICA(VOLTA REDONDA);27213-415
RELAÇÕES INTERNACIONAIS;27213-415
SEGURANÇA PÚBLICA;24020-141
SERVIÇO SOCIAL;24210-350
SERVIÇO SOCIAL (CAMPOS);28010-385
SERVIÇO SOCIAL(RIO DAS OSTRAS);28895-532
SISTEMAS DE INFORMAÇÃO;24210-346
SOCIOLOGIA;24210-201
TURISMO;24210-380
